MOF,"(x,y)"
str_m2_o1_o1_pcu_sym.13,"(13, -0.04830435748521225)"
str_m2_o1_o1_pcu_sym.13,"(14, -0.06265528523975476)"
str_m2_o1_o1_pcu_sym.13,"(15, -0.07685400632511057)"
str_m2_o1_o1_pcu_sym.13,"(16, -0.09084680959953262)"
str_m2_o1_o1_pcu_sym.13,"(17, -0.10458303507154901)"
str_m2_o1_o1_pcu_sym.13,"(18, -0.11801583301808308)"
str_m2_o1_o1_pcu_sym.13,"(19, -0.13110279491694105)"
str_m2_o1_o1_pcu_sym.13,"(20, -0.14380644134470646)"
str_m2_o1_o1_pcu_sym.13,"(21, -0.15609455955942697)"
str_m2_o1_o1_pcu_sym.13,"(22, -0.1679403908161493)"
str_m2_o1_o1_pcu_sym.13,"(23, -0.17932267406537003)"
str_m2_o1_o1_pcu_sym.13,"(24, -0.1902255581925052)"
str_m2_o1_o1_pcu_sym.13,"(25, -0.20063839914188714)"
str_m2_o1_o1_pcu_sym.13,"(26, -0.21055546104192327)"
str_m2_o1_o1_pcu_sym.13,"(27, -0.2199755418434945)"
str_m2_o1_o1_pcu_sym.13,"(28, -0.22890154413486238)"
str_m2_o1_o1_pcu_sym.13,"(29, -0.23734001090506007)"
str_m2_o1_o1_pcu_sym.13,"(30, -0.24530064433293064)"
str_m2_o1_o1_pcu_sym.13,"(31, -0.25279582342895063)"
str_m2_o1_o1_pcu_sym.13,"(32, -0.2598401337869317)"
str_m2_o1_o1_pcu_sym.13,"(33, -0.26644992001895307)"
str_m2_o1_o1_pcu_sym.13,"(34, -0.2726428688175752)"
str_m2_o1_o1_pcu_sym.13,"(35, -0.2784376281409612)"
str_m2_o1_o1_pcu_sym.13,"(36, -0.28385346583472154)"
str_m2_o1_o1_pcu_sym.13,"(37, -0.28890996913832867)"
str_m2_o1_o1_pcu_sym.13,"(38, -0.2936267849924906)"
str_m2_o1_o1_pcu_sym.13,"(39, -0.2980233998619004)"
str_m2_o1_o1_pcu_sym.13,"(40, -0.30211895689318696)"
str_m2_o1_o1_pcu_sym.13,"(41, -0.30593210760759615)"
str_m2_o1_o1_pcu_sym.13,"(42, -0.3094808949429867)"
str_m2_o1_o1_pcu_sym.13,"(43, -0.3127826642692513)"
str_m2_o1_o1_pcu_sym.13,"(44, -0.31585399896554345)"
str_m2_o1_o1_pcu_sym.13,"(45, -0.31871067722996715)"
str_m2_o1_o1_pcu_sym.13,"(46, -0.321367646960252)"
str_m2_o1_o1_pcu_sym.13,"(47, -0.32383901576969565)"
str_m2_o1_o1_pcu_sym.13,"(48, -0.3261380534635775)"
str_m2_o1_o1_pcu_sym.13,"(49, -0.32827720457917364)"
str_m2_o1_o1_pcu_sym.13,"(50, -0.33026810887351754)"
str_m2_o1_o1_pcu_sym.13,"(51, -0.33212162791689326)"
str_m2_o1_o1_pcu_sym.13,"(52, -0.33384787620951406)"
str_m2_o1_o1_pcu_sym.13,"(53, -0.335456255479275)"
str_m2_o1_o1_pcu_sym.13,"(54, -0.3369554910371653)"
str_m2_o1_o1_pcu_sym.13,"(55, -0.33835366926275096)"
str_m2_o1_o1_pcu_sym.13,"(56, -0.3396582754650319)"
str_m2_o1_o1_pcu_sym.13,"(57, -0.3408762315147539)"
str_m2_o1_o1_pcu_sym.13,"(58, -0.34201393277418235)"
str_m2_o1_o1_pcu_sym.13,"(59, -0.34307728396111714)"
str_m2_o1_o1_pcu_sym.13,"(60, -0.344071733677319)"
str_m2_o1_o1_pcu_sym.13,"(61, -0.3450023074094316)"
str_m2_o1_o1_pcu_sym.13,"(62, -0.34587363887476186)"
str_m2_o1_o1_pcu_sym.13,"(63, -0.3466899996366632)"
str_m2_o1_o1_pcu_sym.13,"(64, -0.34745532695643044)"
str_m2_o1_o1_pcu_sym.13,"(65, -0.3481732498820096)"
str_m2_o1_o1_pcu_sym.13,"(66, -0.348847113599852)"
str_m2_o1_o1_pcu_sym.13,"(67, -0.34948000209604413)"
str_m2_o1_o1_pcu_sym.13,"(68, -0.3500747591875006)"
str_m2_o1_o1_pcu_sym.13,"(69, -0.35063400799442934)"
str_m2_o1_o1_pcu_sym.13,"(70, -0.35116016893222357)"
str_m2_o1_o1_pcu_sym.13,"(71, -0.35165547630510496)"
str_m2_o1_o1_pcu_sym.13,"(72, -0.3521219935857862)"
str_m2_o1_o1_pcu_sym.13,"(73, -0.35256162746560893)"
str_m2_o1_o1_pcu_sym.13,"(74, -0.35297614075846906)"
str_m2_o1_o1_pcu_sym.13,"(75, -0.3533671642396593)"
str_m2_o1_o1_pcu_sym.13,"(76, -0.35373620749784274)"
str_m2_o1_o1_pcu_sym.13,"(77, -0.3540846688749134)"
str_m2_o1_o1_pcu_sym.13,"(78, -0.3544138445647064)"
str_m2_o1_o1_pcu_sym.13,"(79, -0.35472493693749946)"
str_m2_o1_o1_pcu_sym.13,"(80, -0.35501906215314966)"
str_m2_o1_o1_pcu_sym.13,"(81, -0.3552972571215952)"
str_m2_o1_o1_pcu_sym.13,"(82, -0.35556048586538835)"
str_m2_o1_o1_pcu_sym.13,"(83, -0.35580964533499726)"
str_m2_o1_o1_pcu_sym.13,"(84, -0.3560455707237964)"
str_m2_o1_o1_pcu_sym.13,"(85, -0.35626904032605944)"
str_m2_o1_o1_pcu_sym.13,"(86, -0.35648077997781347)"
str_m2_o1_o1_pcu_sym.13,"(87, -0.3566814671171874)"
str_m2_o1_o1_pcu_sym.13,"(88, -0.3568717344978466)"
str_m2_o1_o1_pcu_sym.13,"(89, -0.3570521735862725)"
str_m2_o1_o1_pcu_sym.13,"(90, -0.35722333767101466)"
str_m2_o1_o1_pcu_sym.13,"(91, -0.35738574470960055)"
str_m2_o1_o1_pcu_sym.13,"(92, -0.35753987993653735)"
str_m2_o1_o1_pcu_sym.13,"(93, -0.35768619825375747)"
str_m2_o1_o1_pcu_sym.13,"(94, -0.3578251264229593)"
str_m2_o1_o1_pcu_sym.13,"(95, -0.3579570650775353)"
str_m2_o1_o1_pcu_sym.13,"(96, -0.35808239057018015)"
str_m2_o1_o1_pcu_sym.13,"(97, -0.3582014566708064)"
str_m2_o1_o1_pcu_sym.13,"(98, -0.358314596128054)"
str_m2_o1_o1_pcu_sym.13,"(99, -0.3584221221064641)"
str_m2_o1_o1_pcu_sym.22,"(0, 0.07650217528307313)"
str_m2_o1_o1_pcu_sym.22,"(1, 0.05943642754007872)"
str_m2_o1_o1_pcu_sym.22,"(2, 0.04198398599465761)"
str_m2_o1_o1_pcu_sym.22,"(3, 0.024228965471970565)"
str_m2_o1_o1_pcu_sym.22,"(4, 0.006263482172903262)"
str_m2_o1_o1_pcu_sym.22,"(5, -0.011814233197463997)"
str_m2_o1_o1_pcu_sym.22,"(6, -0.029902057567661677)"
str_m2_o1_o1_pcu_sym.22,"(7, -0.04789642831931387)"
str_m2_o1_o1_pcu_sym.22,"(8, -0.065694900638259)"
str_m2_o1_o1_pcu_sym.22,"(9, -0.08319867267099454)"
str_m2_o1_o1_pcu_sym.22,"(10, -0.10031494369394527)"
str_m2_o1_o1_pcu_sym.22,"(11, -0.11695898473810926)"
str_m2_o1_o1_pcu_sym.22,"(12, -0.13305582574421226)"
str_m2_o1_o1_pcu_sym.22,"(13, -0.14854149511600848)"
str_m2_o1_o1_pcu_sym.22,"(14, -0.1633637825163654)"
str_m2_o1_o1_pcu_sym.22,"(15, -0.1774825298853333)"
str_m2_o1_o1_pcu_sym.22,"(16, -0.19086948549541807)"
str_m2_o1_o1_pcu_sym.22,"(17, -0.20350777894984975)"
str_m2_o1_o1_pcu_sym.22,"(18, -0.21539109013173174)"
str_m2_o1_o1_pcu_sym.22,"(19, -0.226522592143915)"
str_m2_o1_o1_pcu_sym.22,"(20, -0.23691374809836405)"
str_m2_o1_o1_pcu_sym.22,"(21, -0.24658303569485918)"
str_m2_o1_o1_pcu_sym.22,"(22, -0.255554663628726)"
str_m2_o1_o1_pcu_sym.22,"(23, -0.26385733173336245)"
str_m2_o1_o1_pcu_sym.22,"(24, -0.27152307392528485)"
str_m2_o1_o1_pcu_sym.22,"(25, -0.2785862106709653)"
str_m2_o1_o1_pcu_sym.22,"(26, -0.2850824266563662)"
str_m2_o1_o1_pcu_sym.22,"(27, -0.29104798008145144)"
str_m2_o1_o1_pcu_sym.22,"(28, -0.2965190427007113)"
str_m2_o1_o1_pcu_sym.22,"(29, -0.30153116434671245)"
str_m2_o1_o1_pcu_sym.22,"(30, -0.30611885202307276)"
str_m2_o1_o1_pcu_sym.22,"(31, -0.31031525147304717)"
str_m2_o1_o1_pcu_sym.22,"(32, -0.3141519181281178)"
str_m2_o1_o1_pcu_sym.22,"(33, -0.3176586642319772)"
str_m2_o1_o1_pcu_sym.22,"(34, -0.3208634694617049)"
str_m2_o1_o1_pcu_sym.22,"(35, -0.32379244331191115)"
str_m2_o1_o1_pcu_sym.22,"(36, -0.32646982869423613)"
str_m2_o1_o1_pcu_sym.22,"(37, -0.32891803750022525)"
str_m2_o1_o1_pcu_sym.22,"(38, -0.3311577101833182)"
str_m2_o1_o1_pcu_sym.22,"(39, -0.33320779266926304)"
str_m2_o1_o1_pcu_sym.22,"(40, -0.33508562506204165)"
str_m2_o1_o1_pcu_sym.22,"(41, -0.3368070376513773)"
str_m2_o1_o1_pcu_sym.22,"(42, -0.33838645063881256)"
str_m2_o1_o1_pcu_sym.22,"(43, -0.33983697478239483)"
str_m2_o1_o1_pcu_sym.22,"(44, -0.3411705108215931)"
str_m2_o1_o1_pcu_sym.22,"(45, -0.3423978460943188)"
str_m2_o1_o1_pcu_sym.22,"(46, -0.34352874720881255)"
str_m2_o1_o1_pcu_sym.22,"(47, -0.34457204799730834)"
str_m2_o1_o1_pcu_sym.22,"(48, -0.3455357322681204)"
str_m2_o1_o1_pcu_sym.22,"(49, -0.34642701109970475)"
str_m2_o1_o1_pcu_sym.22,"(50, -0.3472523945947972)"
str_m2_o1_o1_pcu_sym.22,"(51, -0.34801775814424063)"
str_m2_o1_o1_pcu_sym.22,"(52, -0.3487284033466193)"
str_m2_o1_o1_pcu_sym.22,"(53, -0.34938911379821613)"
str_m2_o1_o1_pcu_sym.22,"(54, -0.35000420601391613)"
str_m2_o1_o1_pcu_sym.22,"(55, -0.3505775757682938)"
str_m2_o1_o1_pcu_sym.22,"(56, -0.3511127401612534)"
str_m2_o1_o1_pcu_sym.22,"(57, -0.351612875717464)"
str_m2_o1_o1_pcu_sym.22,"(58, -0.3520808528260659)"
str_m2_o1_o1_pcu_sym.22,"(59, -0.35251926681882595)"
str_m2_o1_o1_pcu_sym.22,"(60, -0.35293046597271993)"
str_m2_o1_o1_pcu_sym.22,"(61, -0.3533165767081534)"
str_m2_o1_o1_pcu_sym.22,"(62, -0.35367952623767274)"
str_m2_o1_o1_pcu_sym.22,"(63, -0.35402106290284097)"
str_m2_o1_o1_pcu_sym.22,"(64, -0.3543427744195703)"
str_m2_o1_o1_pcu_sym.22,"(65, -0.3546461042349658)"
str_m2_o1_o1_pcu_sym.22,"(66, -0.3549323661820497)"
str_m2_o1_o1_pcu_sym.22,"(67, -0.3552027576027129)"
str_m2_o1_o1_pcu_sym.22,"(68, -0.3554583710941037)"
str_m2_o1_o1_pcu_sym.22,"(69, -0.3557002050194374)"
str_m2_o1_o1_pcu_sym.22,"(70, -0.3559291729109687)"
str_m2_o1_o1_pcu_sym.22,"(71, -0.35614611188061013)"
str_m2_o1_o1_pcu_sym.22,"(72, -0.3563517901423806)"
str_m2_o1_o1_pcu_sym.22,"(73, -0.3565469137405224)"
str_m2_o1_o1_pcu_sym.22,"(74, -0.356732132567658)"
str_m2_o1_o1_pcu_sym.22,"(75, -0.356908045748756)"
str_m2_o1_o1_pcu_sym.22,"(76, -0.3570752064588504)"
str_m2_o1_o1_pcu_sym.22,"(77, -0.35723412623538703)"
str_m2_o1_o1_pcu_sym.22,"(78, -0.357385278839665)"
str_m2_o1_o1_pcu_sym.22,"(79, -0.35752910371608726)"
str_m2_o1_o1_pcu_sym.22,"(80, -0.3576660090927293)"
str_m2_o1_o1_pcu_sym.22,"(81, -0.3577963747620783)"
str_m2_o1_o1_pcu_sym.22,"(82, -0.3579205545766048)"
str_m2_o1_o1_pcu_sym.22,"(83, -0.3580388786900706)"
str_m2_o1_o1_pcu_sym.22,"(84, -0.35815165557212575)"
str_m2_o1_o1_pcu_sym.22,"(85, -0.3582591738207284)"
str_m2_o1_o1_pcu_sym.22,"(86, -0.3583617037942449)"
str_m2_o1_o1_pcu_sym.22,"(87, -0.3584594990826844)"
str_m2_o1_o1_pcu_sym.22,"(88, -0.35855279783537986)"
str_m2_o1_o1_pcu_sym.22,"(89, -0.35864182396052485)"
str_m2_o1_o1_pcu_sym.22,"(90, -0.35872678821026616)"
str_m2_o1_o1_pcu_sym.22,"(91, -0.35880788916355094)"
str_m2_o1_o1_pcu_sym.22,"(92, -0.35888531411756314)"
str_m2_o1_o1_pcu_sym.22,"(93, -0.3589592398973984)"
str_m2_o1_o1_pcu_sym.22,"(94, -0.35902983359255414)"
str_m2_o1_o1_pcu_sym.22,"(95, -0.3590972532278599)"
str_m2_o1_o1_pcu_sym.22,"(96, -0.3591616483756397)"
str_m2_o1_o1_pcu_sym.22,"(97, -0.3592231607151404)"
str_m2_o1_o1_pcu_sym.22,"(98, -0.35928192454460006)"
str_m2_o1_o1_pcu_sym.22,"(99, -0.3593380672507396)"
str_m2_o1_o1_pcu_sym.28,"(0, 0.14786502120619707)"
str_m2_o1_o1_pcu_sym.28,"(1, 0.13989405165113905)"
str_m2_o1_o1_pcu_sym.28,"(2, 0.13158261214336858)"
str_m2_o1_o1_pcu_sym.28,"(3, 0.12292861534738433)"
str_m2_o1_o1_pcu_sym.28,"(4, 0.11393217710660837)"
str_m2_o1_o1_pcu_sym.28,"(5, 0.1045958449447964)"
str_m2_o1_o1_pcu_sym.28,"(6, 0.09492480698349945)"
str_m2_o1_o1_pcu_sym.28,"(7, 0.08492707300428043)"
str_m2_o1_o1_pcu_sym.28,"(8, 0.07461361921236401)"
str_m2_o1_o1_pcu_sym.28,"(9, 0.06399848846221051)"
str_m2_o1_o1_pcu_sym.28,"(10, 0.053098838336076426)"
str_m2_o1_o1_pcu_sym.28,"(11, 0.041934930552256694)"
str_m2_o1_o1_pcu_sym.28,"(12, 0.030530056719330262)"
str_m2_o1_o1_pcu_sym.28,"(13, 0.018910397411011526)"
str_m2_o1_o1_pcu_sym.28,"(14, 0.007104813841256941)"
str_m2_o1_o1_pcu_sym.28,"(15, -0.004855426035763305)"
str_m2_o1_o1_pcu_sym.28,"(16, -0.016936982527895855)"
str_m2_o1_o1_pcu_sym.28,"(17, -0.029104833241640954)"
str_m2_o1_o1_pcu_sym.28,"(18, -0.04132270670871123)"
str_m2_o1_o1_pcu_sym.28,"(19, -0.05355354915759647)"
str_m2_o1_o1_pcu_sym.28,"(20, -0.06576001149783271)"
str_m2_o1_o1_pcu_sym.28,"(21, -0.07790494271253384)"
str_m2_o1_o1_pcu_sym.28,"(22, -0.08995187565554642)"
str_m2_o1_o1_pcu_sym.28,"(23, -0.10186549173100659)"
str_m2_o1_o1_pcu_sym.28,"(24, -0.11361205205260214)"
str_m2_o1_o1_pcu_sym.28,"(25, -0.12515978434976177)"
str_m2_o1_o1_pcu_sym.28,"(26, -0.13647921698481588)"
str_m2_o1_o1_pcu_sym.28,"(27, -0.14754345382222814)"
str_m2_o1_o1_pcu_sym.28,"(28, -0.1583283861923765)"
str_m2_o1_o1_pcu_sym.28,"(29, -0.16881284066671817)"
str_m2_o1_o1_pcu_sym.28,"(30, -0.1789786636735792)"
str_m2_o1_o1_pcu_sym.28,"(31, -0.18881074602480483)"
str_m2_o1_o1_pcu_sym.28,"(32, -0.19829699211455762)"
str_m2_o1_o1_pcu_sym.28,"(33, -0.20742823984693262)"
str_m2_o1_o1_pcu_sym.28,"(34, -0.2161981382344795)"
str_m2_o1_o1_pcu_sym.28,"(35, -0.22460299009846044)"
str_m2_o1_o1_pcu_sym.28,"(36, -0.23264156742888814)"
str_m2_o1_o1_pcu_sym.28,"(37, -0.24031490677885692)"
str_m2_o1_o1_pcu_sym.28,"(38, -0.24762609163319968)"
str_m2_o1_o1_pcu_sym.28,"(39, -0.2545800280691819)"
str_m2_o1_o1_pcu_sym.28,"(40, -0.2611832192782487)"
str_m2_o1_o1_pcu_sym.28,"(41, -0.26744354369898105)"
str_m2_o1_o1_pcu_sym.28,"(42, -0.2733700406709176)"
str_m2_o1_o1_pcu_sym.28,"(43, -0.2789727066962779)"
str_m2_o1_o1_pcu_sym.28,"(44, -0.2842623046220807)"
str_m2_o1_o1_pcu_sym.28,"(45, -0.2892501873499676)"
str_m2_o1_o1_pcu_sym.28,"(46, -0.29394813705842976)"
str_m2_o1_o1_pcu_sym.28,"(47, -0.2983682203885387)"
str_m2_o1_o1_pcu_sym.28,"(48, -0.30252265960055813)"
str_m2_o1_o1_pcu_sym.28,"(49, -0.3064237193517396)"
str_m2_o1_o1_pcu_sym.28,"(50, -0.3100836084689006)"
str_m2_o1_o1_pcu_sym.28,"(51, -0.31351439588496677)"
str_m2_o1_o1_pcu_sym.28,"(52, -0.3167279397673789)"
str_m2_o1_o1_pcu_sym.28,"(53, -0.31973582877868295)"
str_m2_o1_o1_pcu_sym.28,"(54, -0.3225493343665358)"
str_m2_o1_o1_pcu_sym.28,"(55, -0.3251793729730744)"
str_m2_o1_o1_pcu_sym.28,"(56, -0.3276364770743107)"
str_m2_o1_o1_pcu_sym.28,"(57, -0.3299307740019664)"
str_m2_o1_o1_pcu_sym.28,"(58, -0.3320719715570281)"
str_m2_o1_o1_pcu_sym.28,"(59, -0.33406934949127626)"
str_m2_o1_o1_pcu_sym.28,"(60, -0.3359317560060361)"
str_m2_o1_o1_pcu_sym.28,"(61, -0.33766760849312616)"
str_m2_o1_o1_pcu_sym.28,"(62, -0.33928489781890603)"
str_m2_o1_o1_pcu_sym.28,"(63, -0.3407911955264971)"
str_m2_o1_o1_pcu_sym.28,"(64, -0.3421936634022825)"
str_m2_o1_o1_pcu_sym.28,"(65, -0.3434990649197225)"
str_m2_o1_o1_pcu_sym.28,"(66, -0.34471377813571247)"
str_m2_o1_o1_pcu_sym.28,"(67, -0.34584380967186057)"
str_m2_o1_o1_pcu_sym.28,"(68, -0.34689480946501894)"
str_m2_o1_o1_pcu_sym.28,"(69, -0.34787208601825953)"
str_m2_o1_o1_pcu_sym.28,"(70, -0.3487806219253443)"
str_m2_o1_o1_pcu_sym.28,"(71, -0.34962508947892623)"
str_m2_o1_o1_pcu_sym.28,"(72, -0.35040986620545234)"
str_m2_o1_o1_pcu_sym.28,"(73, -0.35113905019844216)"
str_m2_o1_o1_pcu_sym.28,"(74, -0.3518164751467488)"
str_m2_o1_o1_pcu_sym.28,"(75, -0.35244572497600346)"
str_m2_o1_o1_pcu_sym.28,"(76, -0.3530301480399769)"
str_m2_o1_o1_pcu_sym.28,"(77, -0.35357287081442745)"
str_m2_o1_o1_pcu_sym.28,"(78, -0.35407681105943833)"
str_m2_o1_o1_pcu_sym.28,"(79, -0.35454469042755704)"
str_m2_o1_o1_pcu_sym.28,"(80, -0.35497904650451273)"
str_m2_o1_o1_pcu_sym.28,"(81, -0.3553822442771261)"
str_m2_o1_o1_pcu_sym.28,"(82, -0.355756487029458)"
str_m2_o1_o1_pcu_sym.28,"(83, -0.35610382667347906)"
str_m2_o1_o1_pcu_sym.28,"(84, -0.3564261735247143)"
str_m2_o1_o1_pcu_sym.28,"(85, -0.356725305536619)"
str_m2_o1_o1_pcu_sym.28,"(86, -0.3570028770099778)"
str_m2_o1_o1_pcu_sym.28,"(87, -0.35726042679551423)"
